地域医療学,5,20,3,オリエンテーション（課題1）　根拠に基づく医療1（課題2）,医学教育推進センター,准教授,川畑秀伸
地域医療学,5,20,4,地域基幹病院の役割と病院総合医,倶知安厚生病院,主任医長,木佐健悟
地域医療学,5,27,3,総合診療の専門医制度,医学教育推進センター,教授,大滝純司
地域医療学,5,27,4,根拠に基づく医療（2）　課題1、2の発表、提出,医学教育推進センター,准教授,川畑秀伸
地域医療学,6,10,3,都市部での家庭医療の実践と教育,手稲家庭医療クリニック,院長,小嶋一
地域医療学,6,10,4,診療所の役割　海外・被災地でのプライマリ・ケア,留寿都診療所,所長,大泉樹
地域医療学,6,17,3,家庭医療総論,更別村国民健康保険診療所,所長,山田康介
地域医療学,6,17,4,家庭医療の実践例,更別村国民健康保険診療所,所長,山田康介
地域医療学,6,24,3,臨床倫理　総論、地域における臨床倫理,文学研究科,教授,蔵田伸雄
地域医療学,6,24,4,臨床倫理　4分割表を用いた事例検討（課題3）,医学教育推進センター,准教授,川畑秀伸
地域医療学,7,1,3,医師患者関係　医療面接,医学教育推進センター,准教授,川畑秀伸
地域医療学,7,1,4,地域における外科と救急医療、研修医教育,天使病院,外科・小児外科　科長,山本浩史
地域医療学,7,8,3,地域の一般外科、救急医療における地域連携,医学教育推進センター,助教,折茂達也/村上壮一
地域医療学,7,8,4,地域包括ケアと在宅医療,坂本医院,院長,坂本仁
地域医療学,7,15,4,予備,,,
